nFrame,nS,nI,nZ,nT,nV,pZ,pI
1,9,0,0,20,11,0.1,0.2
2,9,0,0,20,22,0.1,0.2
3,9,0,0,20,33,0.1,0.2
4,9,0,0,20,44,0.1,0.2
5,9,0,0,20,55,0.1,0.2
6,9,0,0,20,66,0.1,0.2
7,9,0,0,20,77,0.1,0.2
8,9,0,0,20,88,0.1,0.2
9,9,0,0,20,99,0.1,0.2
10,9,0,0,20,110,0.1,0.2
11,9,0,0,20,121,0.1,0.2
12,9,0,0,20,132,0.1,0.2
13,9,0,0,20,143,0.1,0.2
14,9,0,0,20,154,0.1,0.2
15,9,0,0,20,165,0.1,0.2
16,9,0,0,20,176,0.1,0.2
17,9,0,0,20,187,0.1,0.2
18,9,0,0,20,198,0.1,0.2
19,9,0,0,20,209,0.1,0.2
20,9,0,0,20,220,0.1,0.2
21,9,0,0,20,231,0.1,0.2
22,9,0,0,20,242,0.1,0.2
23,9,0,0,20,253,0.1,0.2
24,9,0,0,20,264,0.1,0.2
25,9,0,0,20,275,0.1,0.2
26,9,0,0,20,286,0.1,0.2
27,9,0,0,20,297,0.1,0.2
28,9,0,0,20,308,0.1,0.2
29,9,0,0,20,319,0.1,0.2
30,9,0,0,20,330,0.1,0.2
31,9,0,0,20,341,0.1,0.2
32,9,0,0,20,352,0.1,0.2
33,9,0,0,20,363,0.1,0.2
34,9,0,0,20,374,0.1,0.2
35,9,0,0,20,385,0.1,0.2
36,9,0,0,20,396,0.1,0.2
37,9,0,0,20,407,0.1,0.2
38,9,0,0,20,418,0.1,0.2
39,9,0,0,20,429,0.1,0.2
40,9,0,0,20,440,0.1,0.2
41,9,0,0,20,451,0.1,0.2
42,9,0,0,20,462,0.1,0.2
43,9,0,0,20,473,0.1,0.2
44,9,0,0,20,484,0.1,0.2
45,9,0,0,20,495,0.1,0.2
46,9,0,0,20,506,0.1,0.2
47,9,0,0,20,517,0.1,0.2
48,9,0,0,20,528,0.1,0.2
49,9,0,0,20,539,0.1,0.2
50,9,0,0,20,550,0.1,0.2
51,9,0,0,20,561,0.1,0.2
52,9,0,0,20,572,0.1,0.2
53,9,0,0,20,583,0.1,0.2
54,9,0,0,20,594,0.1,0.2
